run_id,task_type,gpu_energy_j
1,reasoning_arithmetic,2717.413
2,reasoning_arithmetic,2634.63
3,factual_simple,460.349
4,code_simple,3841.316
5,summarization_short,1599.449
6,summarization_short,1590.864
7,summarization_short,1605.71
8,code_simple,3827.716
9,reasoning_arithmetic,2550.699
10,factual_simple,454.546
11,reasoning_arithmetic,2547.402
12,code_simple,3844.492
13,code_simple,3841.055
14,factual_simple,462.925
15,factual_simple,454.814
16,summarization_short,1592.22
17,code_simple,3836.081
18,code_simple,3833.418
19,reasoning_arithmetic,1747.169
20,code_simple,3826.102
21,summarization_short,1602.435
22,code_simple,3823.355
23,factual_simple,305.48
24,summarization_short,1608.331
25,summarization_short,1604.911
26,code_simple,3846.891
27,reasoning_arithmetic,2381.983
28,reasoning_arithmetic,2546.185
29,reasoning_arithmetic,2610.54
30,summarization_short,1054.261
31,code_simple,3834.761
32,summarization_short,1595.481
33,reasoning_arithmetic,2559.946
34,reasoning_arithmetic,2044.141
35,reasoning_arithmetic,2600.881
36,factual_simple,455.931
37,factual_simple,146.028
38,factual_simple,459.552
39,summarization_short,1489.865
40,factual_simple,458.003
41,summarization_short,1603.56
42,summarization_short,1603.329
43,summarization_short,1593.287
44,code_simple,3842.716
45,factual_simple,459.432
46,summarization_short,1616.194
47,reasoning_arithmetic,2554.993
48,factual_simple,456.883
49,code_simple,3834.818
50,code_simple,3855.626
51,factual_simple,252.006
52,factual_simple,169.684
53,code_simple,3837.992
54,reasoning_arithmetic,2549.403
55,reasoning_arithmetic,2560.524
56,reasoning_arithmetic,2611.72
57,summarization_short,1606.604
58,reasoning_arithmetic,2548.442
59,factual_simple,279.36
60,code_simple,3825.707
61,reasoning_arithmetic,2621.835
62,code_simple,3829.773
63,factual_simple,458.47
64,factual_simple,298.39
65,summarization_short,1605.203
66,summarization_short,1596.131
67,factual_simple,456.403
68,code_simple,3487.464
69,factual_simple,145.911
70,summarization_short,1136.746
71,reasoning_arithmetic,2617.119
72,code_simple,3852.277
73,code_simple,3833.21
74,reasoning_arithmetic,2615.761
75,factual_simple,460.421
76,code_simple,3854.89
77,reasoning_arithmetic,2620.978
78,factual_simple,460.02
79,summarization_short,1600.994
80,summarization_short,1543.154
