run_id,task_type,gpu_energy_j,model
150,code_simple,3834.761,qwen2_72b
151,code_simple,3842.716,qwen2_72b
152,code_simple,3834.818,qwen2_72b
153,code_simple,3855.626,qwen2_72b
154,code_simple,3837.992,qwen2_72b
155,code_simple,3825.707,qwen2_72b
156,code_simple,3829.773,qwen2_72b
157,code_simple,3487.464,qwen2_72b
158,code_simple,3852.277,qwen2_72b
159,code_simple,3833.21,qwen2_72b
160,code_simple,3854.89,qwen2_72b
161,factual_simple,557.025,qwen2_5_72b
162,factual_simple,557.537,qwen2_5_72b
163,factual_simple,555.439,qwen2_5_72b
164,factual_simple,556.339,qwen2_5_72b
165,factual_simple,550.315,qwen2_5_72b
166,factual_simple,555.582,qwen2_5_72b
167,factual_simple,554.161,qwen2_5_72b
168,factual_simple,559.589,qwen2_5_72b
169,factual_simple,555.935,qwen2_5_72b
170,factual_simple,561.796,qwen2_5_72b
171,factual_simple,341.325,qwen2_5_72b
172,factual_simple,179.06,qwen2_5_72b
173,factual_simple,561.349,qwen2_5_72b
174,factual_simple,556.0,qwen2_5_72b
175,factual_simple,556.557,qwen2_5_72b
176,factual_simple,209.435,qwen2_5_72b
177,factual_simple,558.621,qwen2_5_72b
178,factual_simple,555.292,qwen2_5_72b
179,factual_simple,558.677,qwen2_5_72b
180,factual_simple,558.541,qwen2_5_72b
181,summarization_short,1377.817,qwen2_5_72b
182,summarization_short,1670.836,qwen2_5_72b
183,summarization_short,1949.184,qwen2_5_72b
184,summarization_short,1933.819,qwen2_5_72b
185,summarization_short,1482.67,qwen2_5_72b
186,summarization_short,1481.456,qwen2_5_72b
187,summarization_short,1948.911,qwen2_5_72b
188,summarization_short,1664.616,qwen2_5_72b
189,summarization_short,1945.276,qwen2_5_72b
190,summarization_short,1943.128,qwen2_5_72b
191,summarization_short,1350.631,qwen2_5_72b
192,summarization_short,1942.626,qwen2_5_72b
193,summarization_short,1937.913,qwen2_5_72b
194,summarization_short,1949.646,qwen2_5_72b
195,summarization_short,1604.165,qwen2_5_72b
196,summarization_short,1934.956,qwen2_5_72b
197,summarization_short,1941.111,qwen2_5_72b
198,summarization_short,1947.9,qwen2_5_72b
199,summarization_short,1941.416,qwen2_5_72b
200,summarization_short,1937.499,qwen2_5_72b
201,reasoning_arithmetic,3069.838,qwen2_5_72b
202,reasoning_arithmetic,3082.119,qwen2_5_72b
203,reasoning_arithmetic,3070.965,qwen2_5_72b
204,reasoning_arithmetic,3194.578,qwen2_5_72b
205,reasoning_arithmetic,3176.554,qwen2_5_72b
206,reasoning_arithmetic,3070.291,qwen2_5_72b
207,reasoning_arithmetic,3070.076,qwen2_5_72b
208,reasoning_arithmetic,3186.818,qwen2_5_72b
209,reasoning_arithmetic,3177.981,qwen2_5_72b
210,reasoning_arithmetic,3168.255,qwen2_5_72b
211,reasoning_arithmetic,3172.465,qwen2_5_72b
212,reasoning_arithmetic,3181.432,qwen2_5_72b
213,reasoning_arithmetic,3096.974,qwen2_5_72b
214,reasoning_arithmetic,3074.736,qwen2_5_72b
215,reasoning_arithmetic,3183.661,qwen2_5_72b
216,reasoning_arithmetic,3071.175,qwen2_5_72b
217,reasoning_arithmetic,3073.17,qwen2_5_72b
218,reasoning_arithmetic,3076.836,qwen2_5_72b
219,reasoning_arithmetic,3076.653,qwen2_5_72b
220,reasoning_arithmetic,3163.12,qwen2_5_72b
221,code_simple,4653.38,qwen2_5_72b
222,code_simple,4629.673,qwen2_5_72b
223,code_simple,4637.158,qwen2_5_72b
224,code_simple,4639.703,qwen2_5_72b
225,code_simple,4628.374,qwen2_5_72b
226,code_simple,4653.807,qwen2_5_72b
227,code_simple,4650.028,qwen2_5_72b
228,code_simple,4663.614,qwen2_5_72b
229,code_simple,4671.299,qwen2_5_72b
230,code_simple,4649.259,qwen2_5_72b
231,code_simple,4651.64,qwen2_5_72b
232,code_simple,4638.069,qwen2_5_72b
233,code_simple,4672.032,qwen2_5_72b
234,code_simple,4634.641,qwen2_5_72b
235,code_simple,4656.629,qwen2_5_72b
236,code_simple,4649.083,qwen2_5_72b
237,code_simple,4643.273,qwen2_5_72b
238,code_simple,4640.699,qwen2_5_72b
239,code_simple,4645.353,qwen2_5_72b
240,code_simple,4645.829,qwen2_5_72b
241,factual_simple,4.3,qwen3_0_6b
242,factual_simple,0.32,qwen3_0_6b
243,factual_simple,0.333,qwen3_0_6b
244,factual_simple,0.325,qwen3_0_6b
245,factual_simple,0.318,qwen3_0_6b
246,factual_simple,0.309,qwen3_0_6b
247,factual_simple,0.367,qwen3_0_6b
248,factual_simple,0.358,qwen3_0_6b
249,factual_simple,0.343,qwen3_0_6b
250,factual_simple,0.334,qwen3_0_6b
251,factual_simple,0.333,qwen3_0_6b
252,factual_simple,0.329,qwen3_0_6b
253,factual_simple,0.326,qwen3_0_6b
254,factual_simple,0.323,qwen3_0_6b
255,factual_simple,0.354,qwen3_0_6b
256,factual_simple,0.306,qwen3_0_6b
257,factual_simple,0.327,qwen3_0_6b
258,factual_simple,0.384,qwen3_0_6b
259,factual_simple,0.36,qwen3_0_6b
260,factual_simple,0.332,qwen3_0_6b
261,summarization_short,1.172,qwen3_0_6b
262,summarization_short,1.281,qwen3_0_6b
263,summarization_short,1.217,qwen3_0_6b
264,summarization_short,1.314,qwen3_0_6b
265,summarization_short,1.28,qwen3_0_6b
266,summarization_short,1.214,qwen3_0_6b
267,summarization_short,1.405,qwen3_0_6b
268,summarization_short,1.369,qwen3_0_6b
269,summarization_short,1.242,qwen3_0_6b
270,summarization_short,1.187,qwen3_0_6b
271,summarization_short,1.341,qwen3_0_6b
272,summarization_short,1.334,qwen3_0_6b
273,summarization_short,1.126,qwen3_0_6b
274,summarization_short,1.121,qwen3_0_6b
275,summarization_short,1.384,qwen3_0_6b
276,summarization_short,1.229,qwen3_0_6b
277,summarization_short,1.346,qwen3_0_6b
278,summarization_short,1.383,qwen3_0_6b
279,summarization_short,1.398,qwen3_0_6b
280,summarization_short,1.444,qwen3_0_6b
281,reasoning_arithmetic,3.211,qwen3_0_6b
282,reasoning_arithmetic,3.035,qwen3_0_6b
283,reasoning_arithmetic,2.851,qwen3_0_6b
284,reasoning_arithmetic,3.093,qwen3_0_6b
285,reasoning_arithmetic,3.013,qwen3_0_6b
286,reasoning_arithmetic,2.89,qwen3_0_6b
287,reasoning_arithmetic,3.323,qwen3_0_6b
288,reasoning_arithmetic,2.977,qwen3_0_6b
289,reasoning_arithmetic,2.745,qwen3_0_6b
290,reasoning_arithmetic,2.825,qwen3_0_6b
291,reasoning_arithmetic,3.133,qwen3_0_6b
292,reasoning_arithmetic,2.871,qwen3_0_6b
293,reasoning_arithmetic,2.929,qwen3_0_6b
294,reasoning_arithmetic,3.112,qwen3_0_6b
295,reasoning_arithmetic,2.841,qwen3_0_6b
296,reasoning_arithmetic,2.615,qwen3_0_6b
297,reasoning_arithmetic,2.72,qwen3_0_6b
298,reasoning_arithmetic,2.763,qwen3_0_6b
299,reasoning_arithmetic,2.954,qwen3_0_6b
300,reasoning_arithmetic,3.023,qwen3_0_6b
301,code_simple,6.705,qwen3_0_6b
302,code_simple,6.589,qwen3_0_6b
303,code_simple,6.253,qwen3_0_6b
304,code_simple,6.546,qwen3_0_6b
305,code_simple,5.958,qwen3_0_6b
306,code_simple,6.656,qwen3_0_6b
307,code_simple,5.951,qwen3_0_6b
308,code_simple,5.958,qwen3_0_6b
309,code_simple,6.64,qwen3_0_6b
310,code_simple,6.513,qwen3_0_6b
311,code_simple,6.656,qwen3_0_6b
312,code_simple,6.568,qwen3_0_6b
313,code_simple,6.33,qwen3_0_6b
314,code_simple,6.645,qwen3_0_6b
315,code_simple,6.33,qwen3_0_6b
316,code_simple,6.203,qwen3_0_6b
317,code_simple,6.714,qwen3_0_6b
318,code_simple,6.386,qwen3_0_6b
319,code_simple,6.164,qwen3_0_6b
320,code_simple,6.607,qwen3_0_6b
321,factual_simple,378.451,qwen3_235b
322,factual_simple,379.298,qwen3_235b
323,factual_simple,364.116,qwen3_235b
324,factual_simple,363.24,qwen3_235b
325,factual_simple,355.574,qwen3_235b
326,factual_simple,359.881,qwen3_235b
327,factual_simple,365.74,qwen3_235b
328,factual_simple,357.371,qwen3_235b
329,factual_simple,350.821,qwen3_235b
330,factual_simple,375.431,qwen3_235b
331,factual_simple,376.829,qwen3_235b
332,factual_simple,355.929,qwen3_235b
333,factual_simple,361.031,qwen3_235b
334,factual_simple,374.084,qwen3_235b
335,factual_simple,377.082,qwen3_235b
336,factual_simple,385.612,qwen3_235b
337,factual_simple,345.483,qwen3_235b
338,factual_simple,366.299,qwen3_235b
339,factual_simple,384.058,qwen3_235b
340,factual_simple,371.109,qwen3_235b
341,summarization_short,1491.829,qwen3_235b
342,summarization_short,1481.99,qwen3_235b
343,summarization_short,1484.424,qwen3_235b
344,summarization_short,1476.025,qwen3_235b
345,summarization_short,1505.524,qwen3_235b
346,summarization_short,1482.43,qwen3_235b
347,summarization_short,1500.119,qwen3_235b
348,summarization_short,1478.283,qwen3_235b
349,summarization_short,1502.967,qwen3_235b
350,summarization_short,1489.548,qwen3_235b
351,summarization_short,1498.812,qwen3_235b
352,summarization_short,1491.893,qwen3_235b
353,summarization_short,1492.764,qwen3_235b
354,summarization_short,1489.838,qwen3_235b
355,summarization_short,1499.62,qwen3_235b
356,summarization_short,1496.526,qwen3_235b
357,summarization_short,1481.723,qwen3_235b
358,summarization_short,1518.248,qwen3_235b
359,summarization_short,1492.727,qwen3_235b
360,summarization_short,1501.644,qwen3_235b
361,reasoning_arithmetic,2219.147,qwen3_235b
362,reasoning_arithmetic,2115.805,qwen3_235b
363,reasoning_arithmetic,2100.897,qwen3_235b
364,reasoning_arithmetic,1755.293,qwen3_235b
365,reasoning_arithmetic,2111.727,qwen3_235b
366,reasoning_arithmetic,2131.208,qwen3_235b
367,reasoning_arithmetic,2128.217,qwen3_235b
368,reasoning_arithmetic,2140.238,qwen3_235b
369,reasoning_arithmetic,2101.864,qwen3_235b
370,reasoning_arithmetic,2105.802,qwen3_235b
371,reasoning_arithmetic,1741.937,qwen3_235b
372,reasoning_arithmetic,2125.718,qwen3_235b
373,reasoning_arithmetic,2111.561,qwen3_235b
374,reasoning_arithmetic,1755.929,qwen3_235b
375,reasoning_arithmetic,1751.327,qwen3_235b
376,reasoning_arithmetic,1725.599,qwen3_235b
377,reasoning_arithmetic,1722.466,qwen3_235b
378,reasoning_arithmetic,1721.625,qwen3_235b
379,reasoning_arithmetic,1787.899,qwen3_235b
380,reasoning_arithmetic,2133.42,qwen3_235b
381,code_simple,2536.689,qwen3_235b
382,code_simple,2558.455,qwen3_235b
383,code_simple,2552.588,qwen3_235b
384,code_simple,2510.866,qwen3_235b
385,code_simple,2539.277,qwen3_235b
386,code_simple,2549.444,qwen3_235b
387,code_simple,2530.756,qwen3_235b
388,code_simple,2515.334,qwen3_235b
389,code_simple,2539.352,qwen3_235b
390,code_simple,2537.397,qwen3_235b
391,code_simple,2518.548,qwen3_235b
392,code_simple,2583.739,qwen3_235b
393,code_simple,2596.409,qwen3_235b
394,code_simple,2593.711,qwen3_235b
395,code_simple,2538.005,qwen3_235b
396,code_simple,2519.724,qwen3_235b
397,code_simple,2531.441,qwen3_235b
398,code_simple,2534.46,qwen3_235b
399,code_simple,2538.062,qwen3_235b
400,code_simple,2537.351,qwen3_235b
